anonId,printer,event,klass,layout_sqft,print_s,reason,flags
job-5ab1fd65a0,LG-540,Print End,DUPLICATE_SUMMARY,18.188,3186.0,duplicate,
job-5ab1fd65a0,LG-540,Print End,DUPLICATE_SUMMARY,18.188,1074.0,duplicate,
job-1bc1f1d106,LG-540,New Job(Queue A),OTHER_EVENT:New Job(Queue A),0.803,,bad_time_or_dims_or_event,missing_print_times
job-32d518c955,LG-540,New Job(Queue A),OTHER_EVENT:New Job(Queue A),0.803,,bad_time_or_dims_or_event,missing_print_times
job-a7c91440a9,LG-540,New Job(Queue A),OTHER_EVENT:New Job(Queue A),0.803,,bad_time_or_dims_or_event,missing_print_times
job-a6435b9174,LG-540,New Job(Queue A),OTHER_EVENT:New Job(Queue A),0.803,,bad_time_or_dims_or_event,missing_print_times
job-516cbfd767,LG-540,New Job(Queue A),OTHER_EVENT:New Job(Queue A),0.803,,bad_time_or_dims_or_event,missing_print_times
job-5ab1fd65a0,LG-540,New Job(Queue A),OTHER_EVENT:New Job(Queue A),0.803,,bad_time_or_dims_or_event,missing_print_times
job-1595ebc9fd,LG-540,Print End,DUPLICATE_SUMMARY,19.944,1155.0,duplicate,
job-dfc67eed01,LG-540,Print End,DUPLICATE_SUMMARY,11.066,724.0,duplicate,
job-dfc67eed01,LG-540,New Job(Queue A),OTHER_EVENT:New Job(Queue A),0.633,,bad_time_or_dims_or_event,missing_print_times
job-d8fdf105d8,LG-540,Print End,DUPLICATE_SUMMARY,9.094,3905.0,duplicate,
job-d8fdf105d8,LG-540,New Job(Queue A),OTHER_EVENT:New Job(Queue A),0.803,,bad_time_or_dims_or_event,missing_print_times
job-c3071fc3cd,LG-540,Print End,DUPLICATE_SUMMARY,10.188,3065.0,duplicate,
job-c3071fc3cd,LG-540,Print End,DUPLICATE_SUMMARY,10.188,2140.0,duplicate,
job-c3071fc3cd,LG-540,Print End,DUPLICATE_SUMMARY,10.188,708.0,duplicate,
job-c3071fc3cd,LG-540,New Job(Queue A),OTHER_EVENT:New Job(Queue A),0.55,,bad_time_or_dims_or_event,missing_print_times
job-6cce018557,LG-540,New Job(Queue A),OTHER_EVENT:New Job(Queue A),0.533,,bad_time_or_dims_or_event,missing_print_times
job-eae3966d8d,LG-540,Print End,DUPLICATE_SUMMARY,16.599,1000.0,duplicate,
job-61db6f3b32,LG-540,New Job(Queue A),OTHER_EVENT:New Job(Queue A),0.446,,bad_time_or_dims_or_event,missing_print_times
job-cfaf552235,LG-540,New Job(Queue A),OTHER_EVENT:New Job(Queue A),0.445,,bad_time_or_dims_or_event,missing_print_times
job-1089f313d4,LG-540,New Job(Queue A),OTHER_EVENT:New Job(Queue A),0.445,,bad_time_or_dims_or_event,missing_print_times
job-6d2803950b,LG-540,New Job(Queue A),OTHER_EVENT:New Job(Queue A),0.445,,bad_time_or_dims_or_event,missing_print_times
job-cfaf552235,LG-540,New Job(Queue A),OTHER_EVENT:New Job(Queue A),0.421,,bad_time_or_dims_or_event,missing_print_times
job-1089f313d4,LG-540,New Job(Queue A),OTHER_EVENT:New Job(Queue A),0.42,,bad_time_or_dims_or_event,missing_print_times
job-6d2803950b,LG-540,New Job(Queue A),OTHER_EVENT:New Job(Queue A),0.42,,bad_time_or_dims_or_event,missing_print_times
job-61db6f3b32,LG-540,New Job(Queue A),OTHER_EVENT:New Job(Queue A),0.42,,bad_time_or_dims_or_event,missing_print_times
job-eae3966d8d,LG-540,New Job(Queue A),OTHER_EVENT:New Job(Queue A),0.633,,bad_time_or_dims_or_event,missing_print_times
job-4120c1ad7a,LG-540,Print End,DUPLICATE_SUMMARY,9.094,2740.0,duplicate,
job-d8fdf105d8,LG-540,Print End,DUPLICATE_SUMMARY,9.094,491.0,duplicate,
job-4120c1ad7a,LG-540,New Job(Queue A),OTHER_EVENT:New Job(Queue A),0.803,,bad_time_or_dims_or_event,missing_print_times
job-d8fdf105d8,LG-540,New Job(Queue A),OTHER_EVENT:New Job(Queue A),0.803,,bad_time_or_dims_or_event,missing_print_times
job-cfaf552235,LG-540,New Job(Queue A),OTHER_EVENT:New Job(Queue A),0.408,,bad_time_or_dims_or_event,missing_print_times
job-61db6f3b32,LG-540,New Job(Queue A),OTHER_EVENT:New Job(Queue A),0.408,,bad_time_or_dims_or_event,missing_print_times
job-1089f313d4,LG-540,New Job(Queue A),OTHER_EVENT:New Job(Queue A),0.408,,bad_time_or_dims_or_event,missing_print_times
job-6d2803950b,LG-540,New Job(Queue A),OTHER_EVENT:New Job(Queue A),0.408,,bad_time_or_dims_or_event,missing_print_times
job-1b073e1661,LG-540,Print End,LG540_GLOSS_ONLY,11.558,26366.0,bad_time_or_dims_or_event,possible_idle_gt4h
job-1b073e1661,LG-540,Print End,DUPLICATE_SUMMARY,11.558,24893.0,duplicate,possible_idle_gt4h
job-1b073e1661,LG-540,New Job(Queue A),OTHER_EVENT:New Job(Queue A),0.623,,bad_time_or_dims_or_event,missing_print_times
job-198583076a,LG-540,Print End,LG540_GLOSS_ONLY,11.558,23773.0,bad_time_or_dims_or_event,possible_idle_gt4h
job-198583076a,LG-540,Print End,DUPLICATE_SUMMARY,11.558,22158.0,duplicate,possible_idle_gt4h
job-198583076a,LG-540,Print End,DUPLICATE_SUMMARY,11.558,20959.0,duplicate,possible_idle_gt4h
job-198583076a,LG-540,Print End,DUPLICATE_SUMMARY,11.558,19482.0,duplicate,possible_idle_gt4h
job-2f3e7a8e8a,LG-540,Print End,LG540_GLOSS_ONLY,11.558,18295.0,bad_time_or_dims_or_event,possible_idle_gt4h
